OBJECTID,SITENAME,COMMSITEID,COMMTYPE,COMMSUBTYP,ACREAGE,LASTVISIT,DATA_METHD,DATA_SOURC,DATA_EQUIP,DATA_EDTR,DATA_DATE,ASSOCDATA,SPECIESDAT,COMMENTS,ELCODE,EONMBR,IS_QAQC,GPS_PDOP,GPS_HDOP,GPS_HRZPR,Group_legend,Centroid_X,Centroid_Y,COMLABEL,SHAPE_Length,SHAPE_Area
1,Hazel Meadow Pond,0,Poor Fen,Shrub Thicket,6.0450195,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,,"Farmington Valley Biodiversity Project, 2002","Vaccinium corymbosum-Rhododendrom viscosum comm;Decodon verticillatus semi-pmnt flood. shrblands;Nuphar variegatum hydromorphic rootd veg;Chamaedaphne calyculata",tall Chamaedaphne,CP2C2A0000,17,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,980387.66393703,875120.11391159,PF,2534.0960196054,-263321.049695709
2,Matianuck Sand Dunes Natural Area Preserve,1,Sand Barren,Pitch Pine Scrub,0.56013302,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,,"Matianuck Provisional Classification Mapping of Vegetation and Natural Communities, 2004",Pinus rigida - oak forest, ,CT1L100000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,1019431.31353986,856716.99422185,SB,656.142401505867,-24399.3945361984
3,Matianuck Sand Dunes Natural Area Preserve,2,Sand Barren,Pitch Pine Scrub,2.49608744,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,,"Matianuck Provisional Classification Mapping of Vegetation and Natural Communities, 2004",Pinus rigida-oak forest surrounding Pinus rigida woodland,"restorable to rare or uncommon type; part of larger sand barren complex, rare invert potential",CT1L100000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,1019204.91012128,856275.10763843,SB,1437.3887942811,-108729.569153008
4,McLean Bogs,1,Poor Fen,Dwarf Shrub,2.39998545,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,,"Farmington Valley Biodiversity Project, 2002","Chamaedaphne calyculata-Picea mariana community; Vaccinium corymbosum-Rhododendron viscosum community",Low shrubby bog. Picea mariana. In good stable shape. Heavy deer browse noted on Kalmia polifolia (Moorhead 2002),CP2C2A0000,7,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,981677.81457194,896718.59236809,PF,1293.66154289008,-104543.36631621
5,McLean Bogs,2,Poor Fen,Dwarf Shrub,0.82329484,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,,"Farmington Valley Biodiversity Project, 2002","Rhododendron canadense, Picea mariana","Openly tall and low shrubby bog, abundant Woodwardia virginica. Rhodora codominant subshrub with Chamaedaphne. Dominant tall and low shrubs are Pinus strobus and Tusga. ",CP2C2A0000,7,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,981214.59699444,896341.30998618,PF,814.247487875117,-35862.7232514784
6,Congamond Bogs,11,Poor Fen,Shrub Thicket,1.72574491,,Aerial Photo Interpretation,CT 1990 Black and White Ortho Photo,Not Applicable,CT DEP NHS,,"Farmington Valley Biodiversity Project, 2002", , ,CP2C2A0000,33,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,997385.33597835,931588.86645944,PF,1231.70947882498,-75173.4485425791
7,Congamond Bogs,8,Poor Fen,Dwarf Shrub,1.34168796,,Aerial Photo Interpretation,CT 1990 Black and White Ortho Photo,Not Applicable,CT DEP NHS,,"Farmington Valley Biodiversity Project, 2002","Larix and Picea mariana, Gaylussacia frondosa, Vaccinium oxycoccos; potential for rare invert habitat", ,CP2C2A0000,33,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,997127.29253119,929179.19641001,PF,966.947334144042,-58443.9278058921
8,Congamond Bogs,7,Poor Fen,Dwarf Shrub,1.27409152,,Aerial Photo Interpretation,CT 1990 Black and White Ortho Photo,Not Applicable,CT DEP NHS,,"Farmington Valley Biodiversity Project, 2002"," G3 (globally vulnerable) community, high apparent ecological integrity, stable", ,CP2C2A0000,33,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,999320.54044127,931499.9086321,PF,1000.62682115955,-55499.4267467272
9,Congamond Bogs,2,Poor Fen,Dwarf Shrub,0.1799652,,Aerial Photo Interpretation,CT 1990 Black and White Ortho Photo,Not Applicable,CT DEP NHS,,"Farmington Valley Biodiversity Project, 2002","G3 comm in good shape,rare to uncommon spp habitat;Andromeda glaucophylla,Utricularia cornuta,Picea mariana", ,CP2C2A0000,33,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,998236.31262286,932458.20560002,PF,578.818745907506,-7839.28411239402
10,Congamond Bogs,3,Poor Fen,Dwarf Shrub,0.15602175,,Aerial Photo Interpretation,CT 1990 Black and White Ortho Photo,Not Applicable,CT DEP NHS,,"Farmington Valley Biodiversity Project, 2002","G3 comm in good shape,rare to uncommon spp habitat;Andromeda glaucophylla,Utricularia cornuta,Picea mariana", ,CP2C2A0000,33,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,998443.24659219,932604.51731526,PF,489.180115931519,-6796.3076520951
